Site,Site,Year,VegType,VegYr,Vegetation,Veg.Year,Depth,AMBI,LEBI,MAWR,SORA,SWSP,VIRA,AMWO,COYE,RWBL,YWAR,SOSP,CHSP,NOCA,WIFL,TRES,BARS,BANS,EAKI,PUMA,CSWA,COGR,CLIFF,AMRO
CM10_15,CM10_15,2015,Meadow,Meadow_2015,Remnant,Remnant2015,16,0,0,0,0,0,0,0,0.027273,0.04947,0.04,0.166667,0,0,0,0.12,0.1,0,0,0.5,0.5,0.5,0,0
CM9_15,CM9_15,2015,Meadow,Meadow_2015,Remnant,Remnant2015,15,0,0,0,0.666667,0.009434,0,0,0,0.021201,0,0.083333,0,0,0,0.08,0,0,0,0.5,0,0,0,0
LP12_15,LP12_15,2015,Meadow,Meadow_2015,Remnant,Remnant2015,14,0,0,0.05814,0,0.028302,0.142857,0,0.027273,0.038869,0,0.083333,0,0,0,0,0,0,0.1,0,0,0,0,0
LP5_15,LP5_15,2015,Meadow,Meadow_2015,Remnant,Remnant2015,7,0,0,0,0,0.009434,0,0,0.018182,0.04947,0.04,0,0,0,0,0.04,0.1,0.5,0.1,0,0,0,0,0
LP6_15,LP6_15,2015,Meadow,Meadow_2015,Remnant,Remnant2015,0,0,0,0,0,0.009434,0,0,0.045455,0.035336,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1
LP8R_15,LP8R_15,2015,Meadow,Meadow_2015,Remnant,Remnant2015,8,0,0,0.011628,0,0.056604,0.142857,0,0.054545,0.024735,0.08,0.166667,0,0,0,0.16,0.1,0,0,0,0,0,1,0
CM19_15,CM19_15,2015,Invaded,Invaded_2015,Invaded,Invaded2015,19,0,0,0.023256,0,0.066038,0,0,0.036364,0.014134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2_15,CM2_15,2015,Invaded,Invaded_2015,Invaded,Invaded2015,5,0,0,0.011628,0,0,0,0,0.018182,0.024735,0.08,0.083333,0,0,0,0,0,0,0.1,0,0,0,0,0
CM6_15,CM6_15,2015,Invaded,Invaded_2015,Invaded,Invaded2015,29,0,0,0.05814,0,0.009434,0,0,0.027273,0.014134,0.04,0,0,0,0,0,0.1,0,0,0,0,0,0,0
LP1_15,LP1_15,2015,Invaded,Invaded_2015,Invaded,Invaded2015,36,0,0,0.023256,0,0.009434,0,0,0.027273,0.024735,0.04,0.083333,0,0,0,0,0,0,0,0,0,0,0,0
LP12R_15,LP12R_15,2015,Invaded,Invaded_2015,Invaded,Invaded2015,42,0,0,0.034884,0,0.028302,0,0,0.018182,0.010601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP16R_15,LP16R_15,2015,Invaded,Invaded_2015,Invaded,Invaded2015,38,0,0,0.023256,0,0.028302,0,0,0.018182,0.031802,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
CM4R_15,CM4R_15,2015,Emergent,Emergent_2015,Remnant,Remnant2015,32,0,0.5,0.069767,0,0.009434,0,0,0,0.014134,0.04,0,0,0,0,0.04,0,0.5,0,0,0,0,0,0
CM5R_15,CM5R_15,2015,Emergent,Emergent_2015,Remnant,Remnant2015,39,0.25,0,0.011628,0,0.056604,0,0,0.045455,0.021201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP10_15,LP10_15,2015,Emergent,Emergent_2015,Remnant,Remnant2015,22,0,0,0.011628,0,0.018868,0.428571,0,0.045455,0.042403,0,0,0,0,1,0,0,0,0.2,0,0,0,0,0
LP10R_15,LP10R_15,2015,Emergent,Emergent_2015,Remnant,Remnant2015,21,0,0,0.011628,0,0.018868,0,0,0.045455,0.045936,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
LP15_15,LP15_15,2015,Emergent,Emergent_2015,Remnant,Remnant2015,26,0,0,0.046512,0,0.056604,0,0,0.018182,0.031802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP5R_15,LP5R_15,2015,Emergent,Emergent_2015,Remnant,Remnant2015,39,0,0,0.081395,0,0.037736,0,0,0.036364,0.042403,0,0,0,0,0,0.04,0,0,0.1,0,0,0,0,0
LP6R_15,LP6R_15,2015,Emergent,Emergent_2015,Remnant,Remnant2015,28,0,0,0.046512,0,0.028302,0,0,0.036364,0.045936,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
LP7R_15,LP7R_15,2015,Emergent,Emergent_2015,Remnant,Remnant2015,42,0,0,0.05814,0,0.009434,0,0,0,0.088339,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0
CM10_14,CM10_14,2014,Meadow,Meadow_2014,Remnant,Remnant2014,0,0,0,0,0,0.009434,0,0,0.036364,0.007067,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
CM19_14,CM19_14,2014,Invaded,Invaded_2014,Invaded,Invaded2014,0,0,0,0,0,0.056604,0,0,0.027273,0.010601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2_14,CM2_14,2014,Invaded,Invaded_2014,Invaded,Invaded2014,0,0,0,0,0,0.028302,0,1,0.009091,0.028269,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0
CM4R_14,CM4R_14,2014,Emergent,Emergent_2014,Remnant,Remnant2014,34,0.5,0,0.093023,0,0.018868,0,0,0.018182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM5R_14,CM5R_14,2014,Emergent,Emergent_2014,Remnant,Remnant2014,9,0,0,0,0,0.04717,0,0,0.027273,0.017668,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0
CM6_14,CM6_14,2014,Invaded,Invaded_2014,Invaded,Invaded2014,6,0,0,0.05814,0,0.018868,0.142857,0,0.018182,0.007067,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
CM9_14,CM9_14,2014,Meadow,Meadow_2014,Remnant,Remnant2014,0,0,0,0,0,0,0,0,0.009091,0.007067,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
LP1_14,LP1_14,2014,Invaded,Invaded_2014,Invaded,Invaded2014,9,0,0,0.05814,0,0.056604,0,0,0.018182,0.017668,0.04,0,0,0,0,0.04,0,0,0,0,0,0,0,0
LP10_14,LP10_14,2014,Emergent,Emergent_2014,Remnant,Remnant2014,0,0,0,0,0,0.028302,0,0,0.045455,0.021201,0.04,0,0,0,0,0.08,0,0,0,0,0,0,0,0
LP10R_14,LP10R_14,2014,Emergent,Emergent_2014,Remnant,Remnant2014,0.33,0,0,0,0,0.028302,0,0,0.045455,0.003534,0.2,0,0,0,0,0,0,0,0,0,0.5,0,0,0
LP12_14,LP12_14,2014,Meadow,Meadow_2014,Remnant,Remnant2014,0,0,0,0,0,0.028302,0,0,0.027273,0.007067,0.04,0,0,1,0,0,0,0,0,0,0,0,0,0
LP12R_14,LP12R_14,2014,Invaded,Invaded_2014,Invaded,Invaded2014,7,0,0,0.011628,0,0.009434,0,0,0,0.021201,0.04,0,0,0,0,0.08,0.2,0,0,0,0,0,0,0
LP15_14,LP15_14,2014,Emergent,Emergent_2014,Remnant,Remnant2014,4,0,0,0.023256,0,0.037736,0,0,0.027273,0.024735,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP16R_14,LP16R_14,2014,Invaded,Invaded_2014,Invaded,Invaded2014,16,0,0,0.034884,0.333333,0.009434,0,0,0.036364,0.028269,0.04,0,0,0,0,0.12,0.2,0,0,0,0,0.5,0,0
LP5_14,LP5_14,2014,Meadow,Meadow_2014,Remnant,Remnant2014,0,0,0,0,0,0.009434,0,0,0.018182,0.021201,0.04,0,0,0,0,0.04,0,0,0,0,0,0,0,0
LP5R_14,LP5R_14,2014,Emergent,Emergent_2014,Remnant,Remnant2014,13,0,0,0.05814,0,0.009434,0,0,0.009091,0.014134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP6_14,LP6_14,2014,Meadow,Meadow_2014,Remnant,Remnant2014,0,0,0,0,0,0,0,0,0.027273,0.021201,0,0.083333,1,0,0,0.04,0,0,0,0,0,0,0,0
LP6R_14,LP6R_14,2014,Emergent,Emergent_2014,Remnant,Remnant2014,1,0,0.5,0.011628,0,0.056604,0,0,0.027273,0.017668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP7R_14,LP7R_14,2014,Emergent,Emergent_2014,Remnant,Remnant2014,12,0.25,0,0.069767,0,0.009434,0.142857,0,0.018182,0.038869,0,0,0,0,0,0.04,0.1,0,0,0,0,0,0,0
LP8R_14,LP8R_14,2014,Meadow,Meadow_2014,Remnant,Remnant2014,0,0,0,0,0,0.04717,0,0,0.009091,0.014134,0.04,0.083333,0,0,0,0,0,0,0,0,0,0,0,0
