"","Site","Year","VegYr","VegType","Depth","AMBI","LEBI","MAWR","SORA","SWSP","VIRA","AMWO","COYE","RWBL","YWAR","SOSP","CHSP","NOCA","WIFL","TRES","BARS","BANS","EAKI","PUMA","CSWA","COGR","CLIFF","AMRO","Veg","S","Ab","H","J","D","I","logS","logAb"
"1","CM4R_14",2014,"2014_Emergent","Emergent",34,2,0,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Remnant",4,14,1.15374194270109,0.832248889600231,0.612244897959184,2.57894736842105,1.38629436111989,2.63905732961526
"2","CM5R_14",2014,"2014_Emergent","Emergent",9,0,0,0,0,5,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Remnant",4,14,1.25404190173345,0.904600016348906,0.693877551020408,3.26666666666667,1.38629436111989,2.63905732961526
"3","LP10_14",2014,"2014_Emergent","Emergent",0,0,0,0,0,3,0,0,5,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,"Remnant",5,17,1.45204407319368,0.90220570919547,0.740484429065744,3.85333333333333,1.6094379124341,2.83321334405622
"4","LP10R_14",2014,"2014_Emergent","Emergent",0.33,0,0,0,0,3,0,0,5,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,"Remnant",5,15,1.41536913507919,0.879418288922122,0.728888888888889,3.68852459016393,1.6094379124341,2.70805020110221
"5","LP15_14",2014,"2014_Emergent","Emergent",4,0,0,2,0,4,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Remnant",4,16,1.28204624005285,0.924800876357291,0.6953125,3.28205128205128,1.38629436111989,2.77258872223978
"6","LP5R_14",2014,"2014_Emergent","Emergent",13,0,0,5,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Remnant",4,11,1.16222554492109,0.838368515026066,0.644628099173554,2.81395348837209,1.38629436111989,2.39789527279837
"7","LP6R_14",2014,"2014_Emergent","Emergent",1,0,1,1,0,6,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Remnant",5,16,1.39173976951833,0.864736538617683,0.71875,3.55555555555556,1.6094379124341,2.77258872223978
"8","LP7R_14",2014,"2014_Emergent","Emergent",12,1,0,6,0,1,1,0,2,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Remnant",8,24,1.57331636462835,0.756605238999591,0.711805555555556,3.46987951807229,2.07944154167984,3.17805383034795
"9","CM4R_15",2015,"2015_Emergent","Emergent",32,0,1,6,0,1,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,"Remnant",7,15,1.62166791711235,0.833372454478243,0.746666666666667,3.94736842105263,1.94591014905531,2.70805020110221
"10","CM5R_15",2015,"2015_Emergent","Emergent",39,1,0,1,0,6,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Remnant",5,19,1.38926512690817,0.863198956713438,0.725761772853186,3.64646464646465,1.6094379124341,2.94443897916644
"11","LP10_15",2015,"2015_Emergent","Emergent",22,0,0,1,0,2,3,0,5,12,0,0,0,0,1,0,0,0,2,0,0,0,0,0,"Remnant",7,26,1.56830827079569,0.805951020686675,0.72189349112426,3.59574468085106,1.94591014905531,3.25809653802148
"12","LP10R_15",2015,"2015_Emergent","Emergent",21,0,0,1,0,2,0,0,5,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Remnant",5,22,1.14659583652694,0.712420049054787,0.586776859504132,2.42,1.6094379124341,3.09104245335832
"13","LP15_15",2015,"2015_Emergent","Emergent",26,0,0,4,0,6,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Remnant",4,21,1.26085339881896,0.909513472882053,0.689342403628118,3.21897810218978,1.38629436111989,3.04452243772342
"14","LP5R_15",2015,"2015_Emergent","Emergent",39,0,0,7,0,4,0,0,4,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Remnant",6,29,1.4869301151657,0.82987149821305,0.730083234244946,3.70484581497797,1.79175946922805,3.36729582998647
"15","LP6R_15",2015,"2015_Emergent","Emergent",28,0,0,4,0,3,0,0,4,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Remnant",5,25,1.30965448878966,0.813734086087827,0.6624,2.96208530805687,1.6094379124341,3.2188758248682
"16","LP7R_15",2015,"2015_Emergent","Emergent",42,0,0,5,0,1,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Remnant",4,32,0.699514490803617,0.504593043456173,0.36328125,1.57055214723926,1.38629436111989,3.46573590279973
"17","CM19_14",2014,"2014_Invaded","Invaded",0,0,0,0,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Invaded",3,12,1.03972077083992,0.946394630357186,0.625,2.66666666666667,1.09861228866811,2.484906649788
"18","CM2_14",2014,"2014_Invaded","Invaded",0,0,0,0,0,3,0,1,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Invaded",5,15,1.28687263039802,0.799578921594907,0.648888888888889,2.84810126582278,1.6094379124341,2.70805020110221
"19","CM6_14",2014,"2014_Invaded","Invaded",6,0,0,5,0,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Invaded",6,13,1.62602069242075,0.90749942743224,0.769230769230769,4.33333333333333,1.79175946922805,2.56494935746154
"20","LP1_14",2014,"2014_Invaded","Invaded",9,0,0,5,0,6,0,0,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Invaded",6,20,1.58417075851253,0.884142534597593,0.77,4.34782608695652,1.79175946922805,2.99573227355399
"21","LP12R_14",2014,"2014_Invaded","Invaded",7,0,0,1,0,1,0,0,0,6,1,0,0,0,0,2,2,0,0,0,0,0,0,0,"Invaded",6,13,1.52470739303014,0.850955398431372,0.72189349112426,3.59574468085106,1.79175946922805,2.56494935746154
"22","LP16R_14",2014,"2014_Invaded","Invaded",16,0,0,3,1,1,0,0,4,8,1,0,0,0,0,3,2,0,0,0,0,1,0,0,"Invaded",9,24,1.92144225238766,0.874486054910737,0.815972222222222,5.43396226415094,2.19722457733622,3.17805383034795
"23","CM19_15",2015,"2015_Invaded","Invaded",19,0,0,2,0,7,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Invaded",4,17,1.29803567973467,0.936334819025075,0.705882352941176,3.4,1.38629436111989,2.83321334405622
"24","CM2_15",2015,"2015_Invaded","Invaded",5,0,0,1,0,0,0,0,2,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,"Invaded",6,14,1.46806020349905,0.819339999989804,0.693877551020408,3.26666666666667,1.79175946922805,2.63905732961526
"25","CM6_15",2015,"2015_Invaded","Invaded",29,0,0,5,0,1,0,0,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Invaded",6,15,1.58216994292525,0.883025858156563,0.764444444444444,4.24528301886792,1.79175946922805,2.70805020110221
"26","LP1_15",2015,"2015_Invaded","Invaded",36,0,0,2,0,1,0,0,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Invaded",6,15,1.48781671640145,0.830366319784232,0.711111111111111,3.46153846153846,1.79175946922805,2.70805020110221
"27","LP12R_15",2015,"2015_Invaded","Invaded",42,0,0,3,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Invaded",4,11,1.3730039128772,0.990412968114539,0.743801652892562,3.90322580645161,1.38629436111989,2.39789527279837
"28","LP16R_15",2015,"2015_Invaded","Invaded",38,0,0,2,0,3,0,0,2,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Invaded",5,17,1.31301059204033,0.815819350281455,0.657439446366782,2.91919191919192,1.6094379124341,2.83321334405622
"29","CM10_14",2014,"2014_Meadow","Meadow",0,0,0,0,0,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Remnant",4,8,1.2130075659799,0.875,0.65625,2.90909090909091,1.38629436111989,2.07944154167984
"30","CM9_14",2014,"2014_Meadow","Meadow",0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Remnant",3,4,1.03972077083992,0.946394630357186,0.625,2.66666666666667,1.09861228866811,1.38629436111989
"31","LP12_14",2014,"2014_Meadow","Meadow",0,0,0,0,0,3,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Remnant",5,10,1.50478828368119,0.934977529767123,0.76,4.16666666666667,1.6094379124341,2.30258509299405
"32","LP5_14",2014,"2014_Meadow","Meadow",0,0,0,0,0,1,0,0,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Remnant",5,11,1.2945451658449,0.8043461359047,0.644628099173554,2.81395348837209,1.6094379124341,2.39789527279837
"33","LP6_14",2014,"2014_Meadow","Meadow",0,0,0,0,0,0,0,0,3,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"Remnant",5,12,1.31437384300695,0.816666385731586,0.666666666666667,3,1.6094379124341,2.484906649788
"34","LP8R_14",2014,"2014_Meadow","Meadow",0,0,0,0,0,5,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Remnant",5,12,1.35220939923383,0.840174938583843,0.694444444444444,3.27272727272727,1.6094379124341,2.484906649788
"35","CM10_15",2015,"2015_Meadow","Meadow",16,0,0,0,0,0,0,0,3,14,1,2,0,0,0,3,1,0,0,1,1,1,0,0,"Remnant",9,27,1.63195646942129,0.742735397307348,0.694101508916324,3.26905829596413,2.19722457733622,3.29583686600433
"36","CM9_15",2015,"2015_Meadow","Meadow",15,0,0,0,2,1,0,0,0,6,0,1,0,0,0,2,0,0,0,1,0,0,0,0,"Remnant",6,13,1.52470739303014,0.850955398431372,0.72189349112426,3.59574468085106,1.79175946922805,2.56494935746154
"37","LP12_15",2015,"2015_Meadow","Meadow",14,0,0,5,0,3,1,0,3,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Remnant",7,25,1.57824737306975,0.811058708869959,0.7328,3.74251497005988,1.94591014905531,3.2188758248682
"38","LP5_15",2015,"2015_Meadow","Meadow",7,0,0,0,0,1,0,0,2,14,1,0,0,0,0,1,1,1,1,0,0,0,0,0,"Remnant",8,22,1.34862895446134,0.64855343486688,0.574380165289256,2.3495145631068,2.07944154167984,3.09104245335832
"39","LP6_15",2015,"2015_Meadow","Meadow",0,0,0,0,0,1,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,1,"Remnant",5,20,1.27728840564823,0.793623907937192,0.66,2.94117647058824,1.6094379124341,2.99573227355399
"40","LP8R_15",2015,"2015_Meadow","Meadow",8,0,0,1,0,6,1,0,6,7,2,2,0,0,0,4,1,0,0,0,0,0,1,0,"Remnant",10,31,2.0326887902644,0.882785525038424,0.844953173777315,6.4496644295302,2.30258509299405,3.43398720448515
